,name,feature,start,end,strand
1,Bx3,mRNA,1,1889,-
2,exon3,exon,1,629,-
3,exon2,exon,779,1219,-
4,exon1,exon,1383,1889,-
5,Bx4,mRNA,40281,41950,-
6,exon2,exon,40281,40907,-
7,exon1,exon,40985,41950,-
8,Bx5,mRNA,70904,72011,+
9,exon2,exon,70904,71437,+
10,exon3,exon,71571,72011,+
11,Bx8,mRNA,169123,170622,-
12,exon2,exon,169123,170006,-
13,exon1,exon,170127,170622,-
14,Bx1,mRNA,210742,212290,+
15,exon1,exon,210742,211047,+
16,exon2,exon,211157,211466,+
17,exon3,exon,211560,211637,+
18,exon4,exon,211918,212055,+
19,exon5,exon,212156,212290,+
20,Cyp71C4,mRNA,215282,216995,+
21,exon1,exon,215282,216277,+
22,exon2,exon,216375,216995,+
