,name,feature,start,end,strand
1,Bx3,mRNA,1,1896,-
2,exon3,exon,1,629,-
3,exon2,exon,779,1219,-
4,exon1,exon,1390,1896,-
5,Bx4,mRNA,45533,47199,-
6,exon2,exon,45533,46159,-
7,exon1,exon,46234,47199,-
8,Bx5,mRNA,77827,78934,+
9,exon2,exon,77827,78360,+
10,exon3,exon,78494,78934,+
11,Bx8,mRNA,181110,182607,-
12,exon2,exon,181110,181993,-
13,exon1,exon,182112,182607,-
14,Bx1,mRNA,222950,224475,+
15,exon1,exon,222950,223255,+
16,exon2,exon,223353,223662,+
17,exon3,exon,223756,223833,+
18,exon4,exon,224109,224246,+
19,exon5,exon,224341,224475,+
20,Cyp71C4,mRNA,227477,229190,+
21,exon1,exon,227477,228472,+
22,exon2,exon,228570,229190,+
