,name,feature,start,end,strand
1,Bx3,mRNA,1,1881,-
2,exon3,exon,1,629,-
3,exon2,exon,781,1221,-
4,exon1,exon,1375,1881,-
5,Bx4,mRNA,46623,48285,-
6,exon2,exon,46623,47249,-
7,exon1,exon,47320,48285,-
8,Bx5,mRNA,109980,111050,+
9,exon2,exon,109980,110513,+
10,exon3,exon,110610,111050,+
11,Bx8,mRNA,194873,196375,-
12,exon2,exon,194873,195756,-
13,exon1,exon,195880,196375,-
14,Bx1,mRNA,243182,244751,+
15,exon1,exon,243182,243478,+
16,exon2,exon,243614,243923,+
17,exon3,exon,244021,244098,+
18,exon4,exon,244381,244518,+
19,exon5,exon,244617,244751,+
20,Cyp71C4,mRNA,247744,249464,+
21,exon1,exon,247744,248745,+
22,exon2,exon,248844,249464,+
