,name,feature,start,end,strand
1,Bx3,mRNA,1,1896,-
2,exon3,exon,1,629,-
3,exon2,exon,779,1219,-
4,exon1,exon,1390,1896,-
5,Bx4,mRNA,67186,68851,-
6,exon2,exon,67186,67812,-
7,exon1,exon,67886,68851,-
8,Bx5,mRNA,149747,150857,+
9,exon2,exon,149747,150277,+
10,exon3,exon,150417,150857,+
11,Bx8,mRNA,234150,235649,-
12,exon2,exon,234150,235033,-
13,exon1,exon,235154,235649,-
14,Bx1,mRNA,269492,271065,+
15,exon1,exon,269492,269788,+
16,exon2,exon,269927,270236,+
17,exon3,exon,270333,270410,+
18,exon4,exon,270695,270832,+
19,exon5,exon,270931,271065,+
20,Cyp71C4,mRNA,274058,275777,+
21,exon1,exon,274058,275059,+
22,exon2,exon,275157,275777,+
