,name,feature,start,end,strand
1,Bx3,mRNA,1,1889,-
2,exon3,exon,1,629,-
3,exon2,exon,779,1219,-
4,exon1,exon,1383,1889,-
5,Bx4,mRNA,40642,42311,-
6,exon2,exon,40642,41268,-
7,exon1,exon,41346,42311,-
8,Bx5,mRNA,104558,105628,+
9,exon2,exon,104558,105091,+
10,exon3,exon,105188,105628,+
11,Bx8,mRNA,206916,208415,-
12,exon2,exon,206916,207799,-
13,exon1,exon,207920,208415,-
14,Bx1,mRNA,238800,240350,+
15,exon1,exon,238800,239090,+
16,exon2,exon,239208,239517,+
17,exon3,exon,239618,239695,+
18,exon4,exon,239980,240117,+
19,exon5,exon,240216,240350,+
20,Cyp71C4,mRNA,243339,245055,+
21,exon1,exon,243339,244334,+
22,exon2,exon,244435,245055,+
