,name,feature,start,end,strand
1,Bx3,mRNA,1,1885,-
2,exon3,exon,1,629,-
3,exon2,exon,779,1219,-
4,exon1,exon,1379,1885,-
5,Bx4,mRNA,101312,102974,-
6,exon2,exon,101312,101938,-
7,exon1,exon,102009,102974,-
8,Bx5,mRNA,167446,168513,+
9,exon2,exon,167446,167979,+
10,exon3,exon,168073,168513,+
11,Bx8,mRNA,280252,281723,-
12,exon2,exon,280252,281135,-
13,exon1,exon,281234,281723,-
14,Bx1,mRNA,324640,326212,+
15,exon1,exon,324640,324936,+
16,exon2,exon,325075,325384,+
17,exon3,exon,325483,325560,+
18,exon4,exon,325843,325980,+
19,exon5,exon,326078,326212,+
20,Cyp71C4,mRNA,329206,330919,+
21,exon1,exon,329206,330201,+
22,exon2,exon,330299,330919,+
