,name,feature,start,end,strand
1,Bx3,mRNA,1,1895,-
2,exon3,exon,1,629,-
3,exon2,exon,781,1221,-
4,exon1,exon,1389,1895,-
5,Bx4,mRNA,46681,48343,-
6,exon2,exon,46681,47307,-
7,exon1,exon,47378,48343,-
8,Bx5,mRNA,121594,122701,+
9,exon2,exon,121594,122127,+
10,exon3,exon,122261,122701,+
11,Bx8,mRNA,198590,200089,-
12,exon2,exon,198590,199473,-
13,exon1,exon,199594,200089,-
14,Bx1,mRNA,229808,231327,+
15,exon1,exon,229808,230104,+
16,exon2,exon,230204,230513,+
17,exon3,exon,230603,230680,+
18,exon4,exon,230957,231094,+
19,exon5,exon,231193,231327,+
20,Cyp71C4,mRNA,234016,235735,+
21,exon1,exon,234016,235017,+
22,exon2,exon,235115,235735,+
