,name,feature,start,end,strand
1,Bx3,mRNA,1,1891,-
2,exon3,exon,1,629,-
3,exon2,exon,779,1219,-
4,exon1,exon,1385,1891,-
5,Bx4,mRNA,52680,54346,-
6,exon2,exon,52680,53306,-
7,exon1,exon,53381,54346,-
8,Bx5,mRNA,120721,121825,+
9,exon2,exon,120721,121251,+
10,exon3,exon,121385,121825,+
11,Bx8,mRNA,201542,203041,-
12,exon2,exon,201542,202425,-
13,exon1,exon,202546,203041,-
14,Bx1,mRNA,245899,247469,+
15,exon1,exon,245899,246195,+
16,exon2,exon,246331,246640,+
17,exon3,exon,246734,246811,+
18,exon4,exon,247099,247236,+
19,exon5,exon,247335,247469,+
20,Cyp71C4,mRNA,250463,252177,+
21,exon1,exon,250463,251458,+
22,exon2,exon,251557,252177,+
