,name,feature,start,end,strand
1,Bx3,mRNA,1,1883,-
2,exon3,exon,1,629,-
3,exon2,exon,779,1219,-
4,exon1,exon,1377,1883,-
5,Bx4,mRNA,52252,53921,-
6,exon2,exon,52252,52878,-
7,exon1,exon,52956,53921,-
8,Bx5,mRNA,131261,132332,+
9,exon2,exon,131261,131794,+
10,exon3,exon,131892,132332,+
11,Bx8,mRNA,218746,220217,-
12,exon2,exon,218746,219629,-
13,exon1,exon,219728,220217,-
14,Bx1,mRNA,263161,264733,+
15,exon1,exon,263161,263457,+
16,exon2,exon,263596,263905,+
17,exon3,exon,264004,264081,+
18,exon4,exon,264364,264501,+
19,exon5,exon,264599,264733,+
20,Cyp71C4,mRNA,267725,269447,+
21,exon1,exon,267725,268726,+
22,exon2,exon,268827,269447,+
