,name,feature,start,end,strand
1,Bx3,mRNA,1,1896,-
2,exon3,exon,1,629,-
3,exon2,exon,779,1219,-
4,exon1,exon,1390,1896,-
5,Bx4,mRNA,51962,53624,-
6,exon2,exon,51962,52588,-
7,exon1,exon,52659,53624,-
8,Bx5,mRNA,89503,90574,+
9,exon2,exon,89503,90036,+
10,exon3,exon,90134,90574,+
11,Bx8,mRNA,174001,175500,-
12,exon2,exon,174001,174884,-
13,exon1,exon,175005,175500,-
14,Bx1,mRNA,214523,216091,+
15,exon1,exon,214523,214819,+
16,exon2,exon,214955,215264,+
17,exon3,exon,215365,215442,+
18,exon4,exon,215721,215858,+
19,exon5,exon,215957,216091,+
20,Cyp71C4,mRNA,219108,220830,+
21,exon1,exon,219108,220112,+
22,exon2,exon,220210,220830,+
