,name,feature,start,end,strand
1,Bx3,mRNA,3,1881,-
2,exon3,exon,1,629,-
3,exon2,exon,773,1213,-
4,exon1,exon,1375,1881,-
5,test,exon,123,432,+
6,Bx4,mRNA,40240,41909,-
7,exon2,exon,40240,40866,-
8,exon1,exon,40944,41909,-
9,Bx5,mRNA,97750,98821,+
10,exon2,exon,97750,98283,+
11,exon3,exon,98381,98821,+
12,Bx8,mRNA,210767,212264,-
13,exon2,exon,210767,211650,-
14,exon1,exon,211769,212264,-
15,Bx1,mRNA,256679,258240,+
16,exon1,exon,256679,256984,+
17,exon2,exon,257102,257411,+
18,exon4,exon,257871,258008,+
19,exon5,exon,258106,258240,+
20,Cyp71C4,mRNA,261241,262966,+
21,exon1,exon,261241,262248,+
22,exon2,exon,262346,262966,+
